AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
739065,........,145.96916,16.40083,145.96666,16.39472,8680,326,29,368,1.58,0.12,7.6,2.55,128.5,2.4,9.79,0.06,1
190466,092-035.,145.98041,14.805,145.97916,14.80222,7891,327,9,347,1.16,0.09,7.0,2.06,117.2,2.3,9.57,0.06,1
191305,035-041.,145.99208,2.85333,145.98917,2.85139,3661,81,4,109,3.0,0.07,28.6,2.59,55.6,2.2,9.34,0.06,1
193907,........,146.00835,14.85389,145.98082,14.84111,13650,260,6,270,0.9,0.07,7.1,1.75,199.5,2.3,9.93,0.06,1
191867,........,146.01334,9.38111,146.01208,9.37417,3098,166,7,183,1.53,0.06,13.6,1.94,47.2,2.4,8.91,0.06,1
192161,........,146.01791,11.0625,146.01334,11.06389,6442,109,6,119,0.67,0.06,7.1,2.01,95.9,4.4,9.16,0.07,1
193100,035-042.,146.04042,3.4,146.03917,3.40417,7154,206,22,217,1.25,0.08,8.6,2.26,107.0,2.3,9.53,0.05,1
715606,........,146.04584,5.93139,146.03793,5.93667,3025,86,8,113,0.64,0.06,7.0,2.18,46.3,2.2,8.51,0.07,1
191307,035-043.,146.0475,2.415,146.04292,2.41028,5962,159,3,179,5.16,0.09,35.3,2.58,90.0,2.2,9.99,0.05,1
193802,........,146.08542,10.06278,146.08292,10.05861,1472,43,3,61,0.77,0.03,15.4,1.66,23.5,2.3,8.0,0.1,1
190470,063-056.,146.09917,11.23306,146.09792,11.23139,5068,103,2,125,3.85,0.07,34.2,2.47,74.9,2.2,9.71,0.05,1
192222,........,146.10208,12.32472,146.0975,12.32889,13025,313,14,338,1.74,0.1,7.4,2.22,190.7,2.2,10.17,0.05,1
192165,........,146.125,11.27611,146.12627,11.27889,8298,111,6,127,0.76,0.07,7.0,2.29,123.2,2.3,9.43,0.06,1
191309,092-037.,146.14709,15.04472,146.15001,15.0525,7717,369,6,376,1.08,0.08,7.2,1.73,114.8,2.3,9.53,0.06,1
192946,........,146.14334,4.00028,146.14375,4.00167,5898,120,4,138,1.93,0.07,17.4,2.25,89.0,2.4,9.56,0.05,1
191849,........,146.155,10.01639,146.15459,10.01278,1483,62,3,76,2.13,0.04,31.3,1.91,23.7,2.2,8.45,0.09,1
190472,I.559...,146.18459,9.61389,146.18251,9.615,541,67,3,94,4.82,0.04,76.4,1.71,7.4,2.3,7.79,0.27,1
191722,VIIIZw55,146.19167,13.54917,146.19292,13.53944,7205,114,23,182,0.83,0.07,6.6,1.99,107.5,2.4,9.35,0.06,1
191310,092-038a,146.19667,14.89667,146.19542,14.89583,8039,108,11,153,1.04,0.05,12.7,1.75,119.4,2.2,9.54,0.05,1
192223,........,146.21667,12.63306,146.21083,12.635,12714,285,5,297,1.72,0.09,10.5,2.16,186.2,2.2,10.15,0.05,1
198432,........,146.21959,4.58389,146.2121,4.58083,6356,86,7,100,0.59,0.05,6.5,2.18,95.6,2.2,9.1,0.06,1
193317,........,146.22835,2.46917,146.22585,2.46528,5967,207,2,214,2.16,0.08,13.7,2.44,90.1,2.2,9.62,0.05,1
193908,........,146.2375,14.95944,146.23459,14.95778,7623,112,15,151,0.56,0.04,7.5,1.57,113.4,2.2,9.23,0.06,1
